,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,brand,model
160,375000,65000,Petrol,Man,2,2010,1497,5,Honda,City 1.5
161,490000,27680,Petrol,Man,1,2013,1496,5,Toyota,Etios G
162,1825000,27305,Diesel,Auto,1,2021,1493,5,Kia,Seltos GTX
163,3300000,10793,Diesel,Auto,1,2019,1995,5,BMW,3 Series
164,5600000,12000,Diesel,Auto,1,2020,1995,5,BMW,X3 xDrive
165,1499000,44000,Petrol,Auto,1,2019,1451,5,MG,Hector Sharp
166,1199000,63000,Petrol,Man,1,2020,1497,5,Kia,Seltos HTK
167,650000,87000,Diesel,Man,1,2019,1396,5,Hyundai,i20 Sportz
168,190000,61000,Petrol,Man,1,2010,796,5,Maruti,Alto LXi
169,625000,72000,Diesel,Man,1,2016,1396,5,Hyundai,i20 Sportz
170,1651000,70000,Diesel,Auto,1,2015,1968,5,Audi,A4 2.0
171,225000,58000,Diesel,Man,2,2012,1461,5,Nissan,Micra Diesel
172,130000,90000,Petrol,Man,3,2009,1198,5,Honda,Jazz Active
173,1250000,19000,Petrol,Man,1,2022,1497,5,Honda,City VX
174,925000,72159,Petrol,Auto,1,2014,1798,5,Toyota,Corolla Altis
175,590000,78000,Diesel,Man,1,2015,1498,5,Ford,Ecosport 1.5
176,690000,58000,Diesel,Man,1,2018,1498,5,Ford,Ecosport 1.5
177,890000,72000,Diesel,Man,1,2018,1498,5,Ford,Ecosport 1.5
178,4250000,56000,Diesel,Auto,1,2018,1999,5,Land,Rover Range
179,290000,73000,Diesel,Man,1,2012,1461,5,Nissan,Micra Diesel
180,890000,28840,Petrol,Man,1,2016,1591,5,Hyundai,Creta 1.6
181,690000,51500,Petrol,Auto,1,2019,1197,5,Maruti,Swift Dzire
182,480000,41370,Petrol,Auto,1,2020,998,5,Maruti,S-Presso VXI
183,875000,41266,Petrol,Man,1,2016,1591,5,Hyundai,Creta 1.6
184,990000,31740,Petrol,Auto,1,2018,1591,5,Hyundai,Verna VTVT
185,615000,77876,Petrol,Man,1,2015,1373,5,Maruti,Ciaz VXi
186,2050000,9500,Petrol,Man,1,2022,1498,5,Skoda,Kushaq 1.5
187,625000,28387,Petrol,Auto,1,2019,1197,5,Hyundai,Grand i10
188,2700000,120000,Diesel,Auto,2,2015,2987,5,Mercedes-Benz,M-Class ML
189,450000,20000,Petrol,Man,2,2017,1197,5,Hyundai,Grand i10
190,4250000,30686,Diesel,Auto,1,2020,1950,5,Mercedes-Benz,C-Class Progressive
191,100000,120000,Diesel,Man,2,2013,1396,5,Tata,Indica eV2
192,600000,184000,Diesel,Man,2,2018,1493,7,Mahindra,Bolero Power
193,400000,40000,Petrol,Auto,1,2009,1497,5,Honda,City 1.5
194,625000,55000,Diesel,Man,1,2015,1248,5,Maruti,Ciaz Delta
195,575000,38000,Petrol,Man,1,2019,1197,5,Hyundai,Grand i10
196,2350000,40000,Petrol,Auto,1,2017,1395,5,Audi,Q3 30
197,135000,60000,Petrol,Man,2,2006,999,5,Hyundai,Santro GS
198,300000,110000,Diesel,Man,3,2009,2523,7,Mahindra,Bolero SLX
199,210000,143000,Diesel,Man,2,2011,1248,5,Maruti,Swift LDI
200,125000,110000,Diesel,Man,3,2012,1248,5,Tata,Indica Aqua
201,475000,58000,Diesel,Man,1,2017,1198,6,Mahindra,KUV 100
202,550000,65000,Petrol,Man,2,2014,1497,5,Honda,City i
203,1700000,50000,Diesel,Man,1,2021,1956,5,Tata,Harrier XZ
204,349000,55000,Petrol,Man,1,2015,1193,5,Tata,Zest Revotron
205,7000000,19500,Diesel,Auto,1,2021,1999,7,Land,Rover Discovery
206,925000,78000,Diesel,Auto,2,2016,2179,7,Mahindra,XUV500 AT
207,390000,58000,Petrol,Man,1,2010,1497,5,Honda,City V
208,1025000,91000,Diesel,Man,1,2017,2179,7,Mahindra,XUV500 W10
209,1125000,30000,Diesel,Auto,1,2016,1997,7,Mahindra,XUV500 AT
210,725000,44153,Petrol,Man,1,2018,1197,5,Maruti,Baleno 1.2
211,3450000,21000,Diesel,Auto,1,2018,2143,5,Mercedes-Benz,C-Class C
212,1400000,19000,Petrol,Man,1,2020,1497,5,Kia,Seltos HTX
213,1950000,27300,Diesel,Auto,1,2021,1493,6,Hyundai,Alcazar Signature
214,3400000,31001,Petrol,Auto,1,2021,1984,5,Skoda,Superb Laurin
215,310000,50000,Petrol,Man,1,2017,999,5,Renault,KWID 1.0
216,130000,77000,Petrol,Man,2,2005,998,5,Maruti,Wagon R
217,650000,53000,Petrol,Auto,1,2018,1197,5,Maruti,Swift Dzire
218,275000,20000,Petrol,Man,1,2017,799,5,Datsun,RediGO S
219,350000,72000,Petrol,Man,1,2013,1198,5,Honda,Brio S
220,890000,26000,Petrol,Man,1,2016,1591,5,Hyundai,Creta 1.6
221,425000,66000,Diesel,Man,1,2015,1498,5,Honda,Amaze S
222,2200000,69619,Diesel,Auto,1,2014,2179,5,Jaguar,XF 2.2
223,430000,30000,Petrol,Auto,1,2018,998,5,Maruti,Alto K10
224,211000,61000,Petrol,Man,1,2009,1061,5,Maruti,Wagon R
225,975000,31000,Diesel,Auto,1,2018,1461,5,Renault,Duster 110PS
226,625000,66000,Petrol,Auto,1,2015,1197,5,Volkswagen,Polo GT
227,7200000,7700,Petrol,Auto,1,2021,1997,7,Land,Rover Discovery
228,1750000,9000,Petrol,Auto,1,2022,1999,5,Mahindra,XUV700 AX3
229,340000,60000,Petrol,Man,2,2017,1199,5,Tata,Tigor 1.2
230,110000,110000,Petrol,Man,3,2009,1198,5,Skoda,Fabia 1.2
231,1675000,51001,Diesel,Auto,1,2020,1493,5,Kia,Seltos HTX
232,2100000,56207,Diesel,Auto,1,2020,1956,5,Jeep,Compass 2.0
233,2690000,58000,Diesel,Auto,1,2019,2143,5,Mercedes-Benz,GLA Class
234,650000,73290,Diesel,Man,1,2018,1396,5,Hyundai,i20 Diesel
235,790000,44283,Diesel,Man,1,2017,1582,5,Hyundai,Verna 1.6
